min_year,max_year,mean_abs_error,median_abs_error,vehicle_count,support_level
2026,2026,7.696666666666658,7.696666666666658,1,low_support
2025,2025,7.6766666666666765,7.6766666666666765,1,low_support
2025,2025,7.46666666666664,7.46666666666664,1,low_support
2025,2025,7.383333333333326,7.383333333333326,1,low_support
2026,2026,7.336666666666645,7.336666666666645,1,low_support
2026,2026,7.21333333333331,7.21333333333331,1,low_support
2024,2024,6.949999999999989,6.949999999999989,1,low_support
2019,2019,6.893333333333345,6.893333333333345,1,low_support
2023,2024,6.866666666666674,6.866666666666674,2,reliable
2026,2026,6.603333333333353,6.603333333333353,1,low_support
2017,2017,6.430000000000007,6.430000000000007,1,low_support
2025,2025,6.363333333333344,6.363333333333344,1,low_support
2026,2026,6.139999999999986,6.139999999999986,1,low_support
2014,2018,5.840000000000003,5.840000000000003,2,reliable
2022,2022,5.776666666666671,5.776666666666671,1,low_support
2024,2024,5.776666666666642,5.776666666666642,1,low_support
2024,2024,5.446666666666658,5.446666666666658,1,low_support
2025,2025,5.326666666666654,5.326666666666654,1,low_support
2021,2023,5.881111111111115,5.296666666666653,3,reliable
2022,2022,5.289999999999992,5.289999999999992,1,low_support
2024,2024,5.243333333333339,5.243333333333339,1,low_support
2025,2025,5.240000000000009,5.240000000000009,1,low_support
2024,2024,5.160000000000025,5.160000000000025,1,low_support
2023,2023,5.146666666666675,5.146666666666675,1,low_support
2024,2024,5.076666666666654,5.076666666666654,1,low_support
2015,2016,4.988333333333337,4.988333333333337,2,reliable
2023,2025,4.943333333333328,4.943333333333328,2,reliable
2026,2026,4.896666666666647,4.896666666666647,1,low_support
2013,2014,4.886666666666663,4.886666666666663,2,reliable
2023,2023,4.836666666666645,4.836666666666645,1,low_support
2025,2025,4.7666666666666515,4.7666666666666515,1,low_support
2015,2017,4.666666666666671,4.666666666666671,2,reliable
2024,2024,4.543333333333351,4.543333333333351,1,low_support
2024,2024,4.513333333333321,4.513333333333321,1,low_support
2022,2022,4.5,4.5,1,low_support
2026,2026,4.353333333333353,4.353333333333353,1,low_support
2021,2021,4.316666666666663,4.316666666666663,1,low_support
2024,2024,4.313333333333333,4.313333333333333,1,low_support
2025,2025,4.296666666666681,4.296666666666681,1,low_support
2024,2024,4.186666666666667,4.186666666666667,1,low_support
2023,2023,4.173333333333346,4.173333333333346,1,low_support
2026,2026,4.019999999999982,4.019999999999982,1,low_support
2025,2026,4.018333333333345,4.018333333333345,2,reliable
2026,2026,4.009999999999991,4.009999999999991,1,low_support
2025,2025,3.98333333333332,3.98333333333332,1,low_support
2024,2025,3.9466666666666868,3.9466666666666868,2,reliable
2025,2025,3.8899999999999864,3.8899999999999864,1,low_support
2025,2025,3.6899999999999977,3.6899999999999977,1,low_support
2023,2023,3.6399999999999864,3.6399999999999864,1,low_support
2024,2024,3.5733333333333235,3.5733333333333235,1,low_support
2015,2015,3.5500000000000114,3.5500000000000114,1,low_support
2026,2026,3.5166666666666515,3.5166666666666515,1,low_support
